skill,words,characters,approx_tokens
accessible-responsive-ui,203,1396,349
app-engineering-router,367,2535,634
change-verification,224,1450,363
cli-gui-service-bridge,238,1585,397
css-design-system,200,1467,367
frontend-visual-design,189,1366,342
mcp-rust-tools,218,1508,377
repo-discovery-planning,193,1379,345
rust-async,216,1456,364
rust-cli,231,1596,399
rust-core,213,1503,376
rust-errors-observability,212,1484,371
rust-quality,181,1319,330
tauri2-architecture,209,1601,401
tauri2-ipc-security,222,1539,385
tauri2-windows-nsis,228,1614,404
typescript-strict,196,1409,353
vite-build,220,1516,379
